subject,regime,channel,perplexity_real,perplexity_aaft,delta
8,rest,T6,4.114582253135486,4.212950677015042,0.09836842387955524
8,rest,P3,4.012599931893243,3.9934963130684897,-0.019103618824753532
8,rest,P4,3.9440894468569225,4.103685962320554,0.15959651546363185
8,rest,O1,3.905208196484288,3.8875850479840137,-0.017623148500274244
8,rest,O2,3.897632710685664,3.883249353840416,-0.014383356845248052
8,rest,Fz,4.116047132533586,3.983210854129717,-0.13283627840386902
8,rest,Cz,4.085221641938146,3.9924677245186033,-0.09275391741954264
8,rest,Pz,3.9299690529127007,3.984302043707912,0.054332990795211256
8,arithmetic,Fp1,3.668923434772307,4.093838403094414,0.42491496832210673
8,arithmetic,Fp2,4.328862993272498,3.6004372471794066,-0.7284257460930914
8,arithmetic,F3,4.80456396408858,4.6145470913454405,-0.19001687274313994
8,arithmetic,F4,4.101776146021933,4.335453344030231,0.2336771980082979
8,arithmetic,F7,3.747907219098878,4.307521328495126,0.5596141093962479
8,arithmetic,F8,4.4972147943109935,4.235805829759226,-0.26140896455176765
8,arithmetic,T3,4.139284331507559,4.486984853383136,0.3477005218755771
8,arithmetic,T4,5.396934782517782,5.256302257385487,-0.14063252513229507
8,arithmetic,C3,4.471410920093663,4.533054996426238,0.06164407633257518
8,arithmetic,C4,4.46955184648061,4.831155158786024,0.3616033123054141
8,arithmetic,T5,4.878750775907311,4.447678691927928,-0.4310720839793829
8,arithmetic,T6,4.840279250870126,4.643594837100211,-0.19668441376991552
8,arithmetic,P3,4.205045334572169,4.739372991882112,0.5343276573099427
8,arithmetic,P4,4.573891660609968,5.114462517838732,0.5405708572287642
8,arithmetic,O1,4.460158267297438,4.374117115290993,-0.08604115200644546
8,arithmetic,O2,4.481211893981932,4.5902555420421525,0.10904364806022038
8,arithmetic,Fz,4.392426982097293,4.49490820550314,0.10248122340584764
8,arithmetic,Cz,4.727447159057967,4.379367579918405,-0.34807957913956233
8,arithmetic,Pz,4.0538844689462605,4.900414342955365,0.8465298740091045
9,rest,Fp1,4.133736616668534,4.290231706059099,0.15649508939056478
9,rest,Fp2,3.779194547639048,3.922461352409945,0.14326680477089715
9,rest,F3,3.526166851383936,3.514934890197354,-0.011231961186582318
9,rest,F4,3.340227754204095,3.4622993091091407,0.12207155490504595
9,rest,F7,4.114846947597829,4.268056754416625,0.15320980681879615
9,rest,F8,3.999403917675724,4.171850985376474,0.1724470677007499
9,rest,T3,3.395924476290085,3.636265021447978,0.24034054515789283
9,rest,T4,3.3610189932018053,3.657782051204492,0.29676305800268654
9,rest,C3,3.3701171738146725,3.451995797794238,0.08187862397956547
9,rest,C4,3.3561457449651697,3.4538600327285125,0.09771428776334279
9,rest,T5,3.644261238822164,3.762591783064252,0.11833054424208811
9,rest,T6,3.889969562437814,4.073469925771731,0.18350036333391673
9,rest,P3,3.7608836105059287,3.723176999316311,-0.0377066111896176
9,rest,P4,3.571681687704545,3.631416425213673,0.05973473750912772
9,rest,O1,3.78769758125704,3.787200505163533,-0.0004970760935067986
9,rest,O2,3.785300980485801,3.7152598147593,-0.07004116572650076
9,rest,Fz,3.3526913394125417,3.340801994229192,-0.011889345183349498
9,rest,Cz,3.3453099935963797,3.4161707985216245,0.07086080492524482
9,rest,Pz,3.495367874026544,3.527924293232987,0.03255641920644292
9,arithmetic,Fp1,3.792314565607072,3.84227864995324,0.04996408434616795
9,arithmetic,Fp2,5.443881580994659,5.3989264357828,-0.044955145211858394
9,arithmetic,F3,3.991106323427909,4.281611057136713,0.2905047337088038
9,arithmetic,F4,4.375669204495559,4.350753784016525,-0.024915420479034722
9,arithmetic,F7,4.380439257434079,4.126857264902456,-0.2535819925316236
9,arithmetic,F8,5.604635733799396,5.094448221116842,-0.5101875126825544
9,arithmetic,T3,4.635129569199647,4.162676272102329,-0.4724532970973172
9,arithmetic,T4,4.523057824557795,4.6859500357018895,0.16289221114409447
9,arithmetic,C3,4.3486359193384265,4.1798668554074885,-0.16876906393093805
9,arithmetic,C4,4.342379189287957,3.9095046091559778,-0.4328745801319793
9,arithmetic,T5,4.349829542492069,4.672405092416286,0.3225755499242169
9,arithmetic,T6,5.6303924238759855,4.995973968070636,-0.6344184558053492
9,arithmetic,P3,4.3620480196916,4.82289130096892,0.4608432812773202
9,arithmetic,P4,3.96671323358341,4.145972985981958,0.17925975239854797
9,arithmetic,O1,4.414267656016238,4.395737389977815,-0.01853026603842345
9,arithmetic,O2,4.382151625122513,4.318938240016614,-0.06321338510589936
9,arithmetic,Fz,4.409358072552581,3.966111940346978,-0.44324613220560316
9,arithmetic,Cz,5.145195543494833,4.230440896194265,-0.9147546473005681
9,arithmetic,Pz,4.03249688527304,4.0567690434260895,0.024272158153049617
10,rest,Fp1,3.416011576120791,3.5559475688491404,0.13993599272834922
10,rest,Fp2,3.032598723503931,3.015328855133424,-0.017269868370507258
