row_index,file,q_label,topology,n_points
298,44q_readout_raw_data.txt,44q,2D_Block,30000
299,44q_readout_raw_data.txt,44q,2D_Block,40000
300,45q_readout_raw_data.txt,45q,2D_Block,500
301,45q_readout_raw_data.txt,45q,2D_Block,1000
302,45q_readout_raw_data.txt,45q,2D_Block,2000
303,45q_readout_raw_data.txt,45q,2D_Block,3000
304,45q_readout_raw_data.txt,45q,2D_Block,4000
305,45q_readout_raw_data.txt,45q,2D_Block,5000
306,45q_readout_raw_data.txt,45q,2D_Block,6000
307,45q_readout_raw_data.txt,45q,2D_Block,7000
308,45q_readout_raw_data.txt,45q,2D_Block,8000
309,45q_readout_raw_data.txt,45q,2D_Block,9000
310,45q_readout_raw_data.txt,45q,2D_Block,10000
311,45q_readout_raw_data.txt,45q,2D_Block,15000
312,45q_readout_raw_data.txt,45q,2D_Block,20000
313,45q_readout_raw_data.txt,45q,2D_Block,30000
314,45q_readout_raw_data.txt,45q,2D_Block,40000
315,46q_readout_raw_data.txt,46q,Bulk_Full,500
316,46q_readout_raw_data.txt,46q,Bulk_Full,1000
317,46q_readout_raw_data.txt,46q,Bulk_Full,2000
318,46q_readout_raw_data.txt,46q,Bulk_Full,3000
319,46q_readout_raw_data.txt,46q,Bulk_Full,4000
320,46q_readout_raw_data.txt,46q,Bulk_Full,5000
321,46q_readout_raw_data.txt,46q,Bulk_Full,6000
322,46q_readout_raw_data.txt,46q,Bulk_Full,7000
323,46q_readout_raw_data.txt,46q,Bulk_Full,8000
324,46q_readout_raw_data.txt,46q,Bulk_Full,9000
325,46q_readout_raw_data.txt,46q,Bulk_Full,10000
326,46q_readout_raw_data.txt,46q,Bulk_Full,15000
327,46q_readout_raw_data.txt,46q,Bulk_Full,20000
328,46q_readout_raw_data.txt,46q,Bulk_Full,30000
329,46q_readout_raw_data.txt,46q,Bulk_Full,40000
330,47q_readout_raw_data.txt,47q,1D_Snake,500
331,47q_readout_raw_data.txt,47q,1D_Snake,1000
332,47q_readout_raw_data.txt,47q,1D_Snake,2000
333,47q_readout_raw_data.txt,47q,1D_Snake,3000
334,47q_readout_raw_data.txt,47q,1D_Snake,4000
335,47q_readout_raw_data.txt,47q,1D_Snake,5000
336,47q_readout_raw_data.txt,47q,1D_Snake,6000
337,47q_readout_raw_data.txt,47q,1D_Snake,7000
338,47q_readout_raw_data.txt,47q,1D_Snake,8000
339,47q_readout_raw_data.txt,47q,1D_Snake,9000
340,47q_readout_raw_data.txt,47q,1D_Snake,10000
341,47q_readout_raw_data.txt,47q,1D_Snake,15000
342,47q_readout_raw_data.txt,47q,1D_Snake,20000
343,47q_readout_raw_data.txt,47q,1D_Snake,30000
344,47q_readout_raw_data.txt,47q,1D_Snake,40000
345,48q_readout_raw_data.txt,48q,Bulk_Full,500
346,48q_readout_raw_data.txt,48q,Bulk_Full,1000
347,48q_readout_raw_data.txt,48q,Bulk_Full,2000
348,48q_readout_raw_data.txt,48q,Bulk_Full,3000
349,48q_readout_raw_data.txt,48q,Bulk_Full,4000
350,48q_readout_raw_data.txt,48q,Bulk_Full,5000
351,48q_readout_raw_data.txt,48q,Bulk_Full,6000
352,48q_readout_raw_data.txt,48q,Bulk_Full,7000
353,48q_readout_raw_data.txt,48q,Bulk_Full,8000
354,48q_readout_raw_data.txt,48q,Bulk_Full,9000
355,48q_readout_raw_data.txt,48q,Bulk_Full,10000
356,48q_readout_raw_data.txt,48q,Bulk_Full,15000
357,48q_readout_raw_data.txt,48q,Bulk_Full,20000
358,48q_readout_raw_data.txt,48q,Bulk_Full,30000
359,48q_readout_raw_data.txt,48q,Bulk_Full,40000
360,49q_readout_raw_data.txt,49q,1D_Snake,500
361,49q_readout_raw_data.txt,49q,1D_Snake,1000
362,49q_readout_raw_data.txt,49q,1D_Snake,2000
363,49q_readout_raw_data.txt,49q,1D_Snake,3000
364,49q_readout_raw_data.txt,49q,1D_Snake,4000
365,49q_readout_raw_data.txt,49q,1D_Snake,5000
366,49q_readout_raw_data.txt,49q,1D_Snake,6000
367,49q_readout_raw_data.txt,49q,1D_Snake,7000
368,49q_readout_raw_data.txt,49q,1D_Snake,8000
369,49q_readout_raw_data.txt,49q,1D_Snake,9000
370,49q_readout_raw_data.txt,49q,1D_Snake,10000
371,49q_readout_raw_data.txt,49q,1D_Snake,15000
372,49q_readout_raw_data.txt,49q,1D_Snake,20000
373,49q_readout_raw_data.txt,49q,1D_Snake,30000
374,49q_readout_raw_data.txt,49q,1D_Snake,40000
375,50q_readout_raw_data.txt,50q,2D_Block,500
376,50q_readout_raw_data.txt,50q,2D_Block,1000
377,50q_readout_raw_data.txt,50q,2D_Block,2000
378,50q_readout_raw_data.txt,50q,2D_Block,3000
379,50q_readout_raw_data.txt,50q,2D_Block,4000
380,50q_readout_raw_data.txt,50q,2D_Block,5000
381,50q_readout_raw_data.txt,50q,2D_Block,6000
382,50q_readout_raw_data.txt,50q,2D_Block,7000
383,50q_readout_raw_data.txt,50q,2D_Block,8000
384,50q_readout_raw_data.txt,50q,2D_Block,9000
385,50q_readout_raw_data.txt,50q,2D_Block,10000
386,50q_readout_raw_data.txt,50q,2D_Block,15000
387,50q_readout_raw_data.txt,50q,2D_Block,20000
388,50q_readout_raw_data.txt,50q,2D_Block,30000
389,50q_readout_raw_data.txt,50q,2D_Block,40000
390,51q_readout_raw_data.txt,51q,Bulk_Full,500
391,51q_readout_raw_data.txt,51q,Bulk_Full,1000
392,51q_readout_raw_data.txt,51q,Bulk_Full,2000
393,51q_readout_raw_data.txt,51q,Bulk_Full,3000
394,51q_readout_raw_data.txt,51q,Bulk_Full,4000
395,51q_readout_raw_data.txt,51q,Bulk_Full,5000
396,51q_readout_raw_data.txt,51q,Bulk_Full,6000
397,51q_readout_raw_data.txt,51q,Bulk_Full,7000
398,51q_readout_raw_data.txt,51q,Bulk_Full,8000
399,51q_readout_raw_data.txt,51q,Bulk_Full,9000
400,51q_readout_raw_data.txt,51q,Bulk_Full,10000
401,51q_readout_raw_data.txt,51q,Bulk_Full,15000
402,51q_readout_raw_data.txt,51q,Bulk_Full,20000
403,51q_readout_raw_data.txt,51q,Bulk_Full,30000
404,51q_readout_raw_data.txt,51q,Bulk_Full,40000
405,53q_readout_raw_data.txt,53q,Bulk_Full,500
406,53q_readout_raw_data.txt,53q,Bulk_Full,1000
407,53q_readout_raw_data.txt,53q,Bulk_Full,2000
408,53q_readout_raw_data.txt,53q,Bulk_Full,3000
409,53q_readout_raw_data.txt,53q,Bulk_Full,4000
410,53q_readout_raw_data.txt,53q,Bulk_Full,5000
411,53q_readout_raw_data.txt,53q,Bulk_Full,6000
412,53q_readout_raw_data.txt,53q,Bulk_Full,7000
413,53q_readout_raw_data.txt,53q,Bulk_Full,8000
414,53q_readout_raw_data.txt,53q,Bulk_Full,9000
415,53q_readout_raw_data.txt,53q,Bulk_Full,10000
416,53q_readout_raw_data.txt,53q,Bulk_Full,15000
417,53q_readout_raw_data.txt,53q,Bulk_Full,20000
418,53q_readout_raw_data.txt,53q,Bulk_Full,30000
419,53q_readout_raw_data.txt,53q,Bulk_Full,40000
